x0 = $(-1, 0)^T$, eps = 1e-07, penaltyExporent = 2
startPenaltyCoef	iter	fCount	restriction_value	grad.norm()
14.3	1	13504	2.962287349e-09	28.81690407
14.4	1	13896	1.464584614e-08	28.55795161
14.5	1	14383	1.043367104e-08	28.3006334
14.6	1	14677	5.437103212e-10	28.04495553
14.7	1	13501	4.795498398e-09	27.79095386
14.8	1	14677	5.510992551e-10	27.53870979
14.9	1	13501	4.860802827e-09	27.28823411
15	1	13501	4.893425665e-09	27.03961111
15.1	1	14677	5.623305377e-10	26.79286632
15.2	1	14937	5.664663405e-10	26.54807181
15.3	1	14383	1.100909084e-08	26.30526227
15.4	1	14383	1.108102516e-08	26.06451297
15.5	1	15069	5.779012824e-10	25.82586171
15.6	1	13893	5.089391308e-09	25.58938703
15.7	1	14381	8.361202397e-09	25.35512011
15.8	1	15557	1.026438756e-09	25.12316257
15.9	1	14283	2.688355671e-09	24.89355879
16	1	15557	1.039374808e-09	24.66636867
16.1	1	14283	2.722150017e-09	24.44166721
16.2	1	15557	1.052402965e-09	24.2195218
16.3	1	13989	1.720206795e-08	24.00000199
16.4	1	14381	1.256826536e-08	23.78318347
16.5	1	14283	2.7897884e-09	23.56914799
16.6	1	14283	7.355419473e-09	23.35793889
16.7	1	15554	9.604911089e-10	23.14966744
16.8	1	309	2.274369386e-08	22.94441638
16.9	1	309	1.968249754e-08	22.74225423
17	1	13986	1.582713116e-08	22.54325507
17.1	1	868	1.468204998e-08	22.34751367
17.2	1	14278	2.834815049e-09	22.15513127
17.3	1	14670	1.600668842e-09	21.9661712
17.4	1	14764	4.354242567e-09	21.78072214
17.5	1	13111	6.284441856e-09	33.26902563
17.6	1	13895	1.234149494e-09	33.46211798
17.7	1	15953	7.158289961e-10	33.65565451
17.8	1	15953	7.200155139e-10	33.84966468
17.9	1	13503	4.452170277e-09	34.04414123
18	1	321	7.077178843e-09	34.23904668
18.1	1	14284	7.116496503e-09	34.43440309
18.2	1	14284	7.155814163e-09	34.63019587
18.3	1	14284	7.195123697e-09	34.82640232
18.4	1	14284	7.234441313e-09	35.02303749
18.5	1	14284	7.273767144e-09	35.22006986
18.6	1	14284	7.313093064e-09	35.41751272
18.7	1	14284	7.352402465e-09	35.61535266
18.8	1	14284	7.391728474e-09	35.81357633
18.9	1	14284	7.431029392e-09	36.01220649
19	1	14284	7.470355445e-09	36.21119188
19.1	1	14284	7.509673106e-09	36.41055343
19.2	1	14284	7.548982239e-09	36.61028471
19.3	1	14284	7.588308426e-09	36.81036657
19.4	1	14284	7.627617471e-09	37.01080003
19.5	1	14284	7.666943747e-09	37.21160598
19.6	1	14284	7.706252703e-09	37.41273863
19.7	1	14284	7.745579067e-09	37.61421016
19.8	1	14284	7.784887934e-09	37.8159975
19.9	1	14284	7.824214387e-09	38.01812953
