x0 = $(-1, 0)^T$, eps = 1e-07, penaltyExporent = 0.5
startPenaltyCoef	iter	fCount	restriction_value	grad.norm()
13.8	15	36367	6.088502501e-08	0.9763913843
13.9	15	36463	6.129576891e-08	0.9763922754
14	15	35265	6.170627657e-08	0.9763931824
14.1	15	49456	6.211631969e-08	0.9763940769
14.2	15	51997	6.252605222e-08	0.9763949646
14.3	15	45556	6.293577411e-08	0.9763958511
14.4	15	49906	6.334550997e-08	0.9763967309
14.5	15	39101	6.375444948e-08	0.9763976254
14.6	15	43404	6.416373203e-08	0.9763984972
14.7	15	38296	6.457251566e-08	0.9763993724
14.8	15	35525	6.498125972e-08	0.9764002828
14.9	15	43134	6.53896132e-08	0.9764011341
15	15	36527	6.579777714e-08	0.9764020173
15.1	15	40114	6.620606305e-08	0.9764028811
15.2	15	35215	6.661382249e-08	0.9764037438
15.3	15	38412	6.702124332e-08	0.976404611
15.4	15	35749	6.742888568e-08	0.9764054783
15.5	15	36217	6.783611244e-08	0.9764063376
15.6	15	35683	6.824294337e-08	0.9764071855
15.7	15	41793	6.864996414e-08	0.9764080448
15.8	15	35419	6.905666795e-08	0.9764089234
15.9	15	36208	6.946277468e-08	0.9764097475
16	15	35962	6.98692245e-08	0.9764106261
16.1	15	34902	7.027536387e-08	0.9764114581
16.2	15	41188	7.068131297e-08	0.9764123015
16.3	15	48797	7.108675821e-08	0.9764131449
16.4	15	49741	7.14920706e-08	0.9764139997
16.5	15	43216	7.18977582e-08	0.9764148431
16.6	15	35679	7.230278622e-08	0.9764156626
16.7	15	36912	7.270751956e-08	0.9764165219
16.8	15	37261	7.311263075e-08	0.976417338
16.9	15	42531	7.351732547e-08	0.9764181928
17	15	35366	7.392171669e-08	0.9764190203
17.1	15	49380	7.432574401e-08	0.9764198364
17.2	15	41962	7.472981916e-08	0.9764206594
17.3	15	39094	7.513350977e-08	0.9764214869
17.4	15	35202	7.553754658e-08	0.9764223109
17.5	15	36541	7.594078805e-08	0.9764231305
17.6	15	43479	7.634395177e-08	0.9764239534
17.7	15	41182	7.674741068e-08	0.9764247968
17.8	15	35565	7.715051493e-08	0.9764255891
17.9	15	37707	7.755317844e-08	0.97642642
18	15	40407	7.795609352e-08	0.9764272236
18.1	15	39173	7.835853316e-08	0.9764280352
18.2	15	52508	7.876070402e-08	0.9764288389
18.3	15	36469	7.916273313e-08	0.9764296505
18.4	15	53144	7.956524528e-08	0.9764304621
18.5	15	36890	7.996665647e-08	0.9764312543
18.6	15	41126	8.036839832e-08	0.9764320773
18.7	15	39164	8.076949329e-08	0.976432873
18.8	15	38490	8.11710283e-08	0.9764336687
18.9	15	37116	8.157223721e-08	0.9764344644
19	15	35898	8.197294466e-08	0.9764352566
19.1	15	36724	8.237389187e-08	0.9764360478
19.2	15	41966	8.277513938e-08	0.9764368435
19.3	15	35868	8.317546375e-08	0.9764376471
19.4	15	39266	8.357542005e-08	0.9764384428
19.5	15	36076	8.397558212e-08	0.9764392146
19.6	15	36573	8.437551664e-08	0.9764400103
19.7	15	35528	8.477563686e-08	0.9764407981
19.8	15	36694	8.51755947e-08	0.9764415938
19.9	15	35679	8.557537996e-08	0.9764423656
