x0 = $(-1, 0)^T$, startPenaltyCoef = 1, eps = 1e-07
penaltyExponent	iter	fCount	restriction_value	grad.norm()
1.1	29	74894	3.392270371e-10	21.90830144
1.2	15	26534	1.142533581e-09	21.66337111
1.3	11	26222	5.288966762e-09	23.04503155
1.4	9	18978	5.35940331e-09	24.93632484
1.5	7	33166	8.09151385e-09	22.45978538
1.6	6	6818	4.396434873e-09	22.37785481
1.7	6	26442	3.76112193e-09	26.71527133
1.8	5	5121	1.757513204e-09	22.14855529
1.9	5	21124	5.172373089e-09	27.34231253
2	4	16149	1.399875771e-08	21.77293851
2.1	4	12266	1.44955205e-09	23.73520771
2.2	4	18328	7.84754544e-10	26.01457538
2.3	4	10420	1.732075876e-08	29.62388892
2.4	4	24021	2.559064615e-09	23.38145198
2.5	3	4064	2.377868735e-09	21.77558694
2.6	3	4491	4.774236135e-10	22.71481976
2.7	3	14267	2.090595605e-09	23.96180779
2.8	3	8438	5.051343962e-09	23.17450892
2.9	3	24761	4.501535225e-09	26.96670142
3	3	12011	3.197919929e-09	29.68551325
3.1	3	26292	5.547214841e-10	27.29947001
3.2	3	18237	2.527485776e-09	23.81769006
3.3	3	19665	7.066772725e-09	34.17760265
3.4	3	19948	7.726715317e-09	37.51745939
3.5	3	18496	8.428713894e-09	41.16338182
3.6	3	17166	9.17202378e-09	45.1118192
3.7	3	47159	9.583018424e-09	49.36070682
3.8	3	9195	1.078718717e-08	53.90927723
3.9	3	3731	3.025900163e-09	58.75811075
4	2	10335	1.166763042e-08	21.77293851
4.1	2	14955	1.004453198e-09	22.40900099
4.2	2	4800	4.286920658e-09	22.77534571
4.3	2	1594	1.407013327e-08	22.96606669
4.4	2	13714	7.204331354e-10	23.65102469
4.5	2	14130	2.570377911e-09	24.52086558
4.6	2	1812	4.406383836e-09	24.5761794
4.7	2	1512	1.473058695e-08	22.94256815
4.8	2	16349	5.03042088e-10	25.64240056
4.9	2	18506	4.150601942e-09	26.58847758
5	2	14739	6.042966127e-09	27.58585602
5.1	2	16830	2.309366618e-09	28.63304547
5.2	2	12475	4.04763064e-09	29.7285458
5.3	2	3422	1.738578788e-08	29.48412742
5.4	2	15231	1.049126849e-08	28.09594952
5.5	2	15100	1.088329077e-08	26.73148215
5.6	2	17063	1.018726579e-09	25.40179427
5.7	2	15551	7.198134269e-09	24.1204019
5.8	2	15483	6.14976539e-09	22.90373212
5.9	2	1248	1.085718703e-08	21.77155032
6	2	3622	7.077186837e-09	34.23904907
6.1	2	17064	7.315042425e-09	35.42739973
6.2	2	15112	7.556845762e-09	36.65027803
6.3	2	2371	7.802589674e-09	37.90691405
6.4	2	21022	8.052238627e-09	39.19663645
6.5	2	15227	8.305855725e-09	40.5187783
6.6	2	18008	8.5633864e-09	41.87269364
6.7	2	19739	8.824848841e-09	43.25784294
6.8	2	15223	9.090253315e-09	44.67366747
6.9	2	17322	9.35956902e-09	46.1197002
7	2	16011	9.632815878e-09	47.59545757
7.1	2	4072	9.910016263e-09	49.10050967
7.2	2	6862	1.019113753e-08	50.63452356
7.3	2	16395	5.835371444e-09	52.19705579
7.4	2	6551	1.076517537e-08	53.78781032
7.5	2	2608	1.105809194e-08	55.40646954
7.6	2	10688	1.135494028e-08	57.05272628
7.7	2	3007	3.024322117e-09	58.72629279
7.8	2	13482	3.10595953e-09	60.42700378
7.9	2	4307	1.226907588e-08	62.1544679
8	2	19014	8.173017818e-09	63.90863375
8.1	2	23603	1.289815844e-08	65.68914376
8.2	2	9742	1.32186011e-08	66.12107103
8.3	2	9288	1.354297189e-08	66.12107103
8.4	2	1885	1.387127445e-08	66.12107103
8.5	2	2313	1.420350877e-08	66.12107103
8.6	2	1249	1.453967076e-08	66.12107103
8.7	2	1138	1.487977272e-08	66.12107103
8.8	2	5199	1.522380234e-08	66.12107103
8.9	2	9344	1.557176373e-08	66.12107103
9	2	4718	1.59236524e-08	66.12107103
9.1	2	1349	1.627947722e-08	66.12107103
9.2	2	3607	1.663923851e-08	66.12107103
9.3	2	3122	1.700292217e-08	66.12107103
9.4	2	9707	1.737054229e-08	66.12107103
9.5	2	1246	1.774209919e-08	66.12107103
9.6	2	2822	1.811757784e-08	66.12107103
9.7	2	4485	1.849699326e-08	66.12107103
9.8	2	6425	1.888034578e-08	66.12107103
9.9	2	9961	1.92676194e-08	66.12107103
10	2	9979	1.965883012e-08	66.12107103
10.1	2	9875	2.005397827e-08	66.12107103
10.2	2	4582	2.045304686e-08	66.12107103
10.3	2	1361	2.085605287e-08	66.12107103
10.4	2	1354	2.126299666e-08	66.12107103
10.5	2	3268	2.167386021e-08	66.12107103
10.6	2	2645	2.208866152e-08	66.12107103
10.7	2	1790	2.25073946e-08	66.12107103
10.8	2	1244	2.293005945e-08	66.12107103
10.9	2	1669	2.335666266e-08	66.12107103
11	2	2415	2.378718444e-08	66.12107103
11.1	2	2533	2.422165143e-08	66.12107103
11.2	2	3622	2.466004347e-08	66.12107103
11.3	2	5953	2.510236727e-08	66.12107103
11.4	2	1245	2.554861562e-08	66.12107103
11.5	2	3173	2.599880283e-08	66.12107103
11.6	2	1563	2.645292928e-08	66.12107103
11.7	2	1459	2.691097255e-08	66.12107103
11.8	2	2737	2.737295506e-08	66.12107103
11.9	2	7225	2.783886933e-08	66.12107103
12	2	1681	2.830872337e-08	66.12107103
12.1	2	2333	2.878250131e-08	66.12107103
12.2	2	3044	2.926021101e-08	66.12107103
12.3	2	2787	2.974184409e-08	66.12107103
12.4	2	1566	3.022741719e-08	66.12107103
12.5	2	2769	3.071692206e-08	66.12107103
12.6	2	1887	3.121036751e-08	66.12107103
12.7	2	1580	3.17077271e-08	66.12107103
12.8	2	2908	3.220903636e-08	66.12107103
12.9	2	2470	3.27142592e-08	66.12107103
13	2	1469	3.322343228e-08	66.12107103
13.1	2	3890	3.373651837e-08	66.12107103
13.2	2	1467	3.42535456e-08	66.12107103
13.3	2	1463	3.47745046e-08	66.12107103
13.4	2	1690	3.529939536e-08	66.12107103
13.5	2	1909	3.582822801e-08	66.12107103
13.6	2	1356	3.636097219e-08	66.12107103
13.7	2	2019	3.689765825e-08	66.12107103
13.8	2	1479	3.743827608e-08	66.12107103
13.9	2	3030	3.79828364e-08	66.12107103
14	2	1391	3.853131791e-08	66.12107103
14.1	2	1580	3.908372016e-08	66.12107103
14.2	2	1375	3.964007625e-08	66.12107103
14.3	2	2041	4.020035306e-08	66.12107103
14.4	2	15716	4.07660005e-08	66.1210994
14.5	2	1793	4.1332702e-08	66.1210994
14.6	2	16623	4.190628871e-08	66.1210994
14.7	2	17823	4.248225344e-08	66.1210994
14.8	2	15934	4.306218491e-08	66.1210994
14.9	2	16392	4.364609693e-08	66.1210994
15	2	17744	4.423390404e-08	66.1210994
15.1	2	2022	4.482411121e-08	66.1210994
15.2	2	2124	4.541977393e-08	66.1210994
15.3	1	3085	5.52768431e-10	21.61096187
15.4	1	5323	1.050090237e-09	21.65684479
15.5	1	1154	3.123851178e-10	21.71490278
15.6	1	1472	5.916344481e-09	21.75229357
15.7	1	11115	2.342188776e-09	21.76672727
15.8	1	938	4.812573184e-09	21.84927022
15.9	1	958	6.519261797e-10	21.94300032
16	1	13108	1.265542338e-08	21.77294856
16.1	1	13814	3.701616813e-09	21.98402358
16.2	1	13814	4.256047115e-09	22.07779225
16.3	1	6017	3.486027245e-10	22.1724248
16.4	1	14013	3.347816513e-09	22.02118455
16.5	1	13289	1.312492015e-08	21.79203282
16.6	1	5820	3.60611403e-09	22.2110103
16.7	1	4515	5.306811457e-09	22.30485001
16.8	1	14008	3.50362992e-09	22.39948976
16.9	1	739	6.619403625e-09	22.49492805
17	1	10682	5.36472422e-10	22.59112527
17.1	1	2485	3.334860987e-09	22.42814156
17.2	1	4267	5.003544423e-09	22.2056763
17.3	1	13377	6.701695421e-10	21.98771504
17.4	1	13465	1.236325429e-08	21.77438795
17.5	1	3865	1.950817285e-09	22.64332257
17.6	1	3686	5.699366312e-09	22.73748471
17.7	1	5545	2.035586633e-09	22.83234218
17.8	1	1221	5.627714961e-09	22.92790624
17.9	1	3401	1.395572924e-09	23.0241582
18	1	2364	5.193877328e-09	23.121074
18.1	1	14568	1.973919384e-09	23.21867606
18.2	1	786	2.973503443e-09	23.31693498
18.3	1	839	3.013677374e-09	23.36746895
18.4	1	12048	2.856473991e-09	23.15480512
18.5	1	14304	2.596178383e-09	22.94525324
18.6	1	541	4.112667007e-09	22.73893451
18.7	1	1262	8.225920411e-09	22.53592346
18.8	1	7640	6.097923855e-09	22.33629885
18.9	1	2923	4.037191581e-09	22.14016371
19	1	970	7.863535156e-09	21.94761071
19.1	1	14768	1.375839664e-09	21.75874054
19.2	1	14305	2.715289327e-09	23.49921929
19.3	1	546	2.235729224e-09	23.59392132
19.4	1	3705	5.546760962e-09	23.68918182
19.5	1	521	2.031159241e-09	23.78501764
19.6	1	1335	1.021784346e-09	23.88138967
19.7	1	691	4.960628908e-09	23.97831679
19.8	1	9967	1.187054854e-09	24.07578244
19.9	1	8883	4.301861956e-09	24.1737744
