x0 = $(-1, 0)^T$, startPenaltyCoef = 1, eps = 1e-07
penaltyExponent	iter	fCount	restriction_value	grad.norm()
0.9090909091	60	73731	4.073550479e-07	1.131371179
0.8333333333	40	97803	9.509938058e-08	0.9764606626
0.7692307692	28	78003	9.050399248e-08	0.9764518982
0.7142857143	22	69649	8.590147669e-08	0.9764430022
0.6666666667	18	43624	9.461436768e-08	0.9764597475
0.625	16	39687	7.700358388e-08	0.9764253061
0.5882352941	14	35591	8.381965683e-08	0.9764389202
0.5555555556	13	46677	6.879861552e-08	0.9764083585
0.5263157895	12	38247	6.500125034e-08	0.9764003112
0.5	11	32364	6.98692245e-08	0.9764106261
0.4761904762	10	20894	8.455662947e-08	0.9764403605
0.4545454545	10	33510	5.485378537e-08	0.9763779545
0.4347826087	9	19481	7.873171883e-08	0.9764287832
0.4166666667	9	30309	5.51281881e-08	0.9763785784
0.4	8	18507	9.184812502e-08	0.9764544764
0.3846153846	8	26289	6.861498171e-08	0.9764079652
0.3703703704	8	29857	5.180283701e-08	0.9763709771
0.3571428571	8	30564	3.949565688e-08	0.9763413187
0.3448275862	7	25566	8.195747902e-08	0.9764352282
0.3333333333	7	27709	6.572865228e-08	0.9764018502
0.3225806452	7	32011	5.308257166e-08	0.9763739288
0.3125	7	29245	4.315126316e-08	0.9763504038
0.303030303	13	56254	1.945555503e-11	0.8000009544
0.2941176471	6	16433	9.080256842e-08	0.9764524791
0.2857142857	6	17112	7.72531146e-08	0.976425788
0.2777777778	6	18984	6.601578848e-08	0.9764024787
0.2702702703	6	17131	5.664913662e-08	0.9763820154
0.2631578947	6	27975	4.880422266e-08	0.976363992
0.2564102564	6	28110	4.220369153e-08	0.9763480808
0.25	11	50160	2.528918009e-11	0.8000010516
0.243902439	11	49857	1.945691504e-11	0.8000009544
0.2380952381	11	50874	1.506527524e-11	0.8000008711
0.2325581395	5	15641	9.50803497e-08	0.9764606273
0.2272727273	5	17408	8.545285013e-08	0.9764421269
0.2222222222	5	17660	7.698008008e-08	0.976425247
0.2173913043	5	15805	6.950226585e-08	0.9764098384
0.2127659574	5	17184	6.288519877e-08	0.9763957522
0.2083333333	5	21575	5.701512688e-08	0.976382819
0.2040816327	5	16854	5.179510076e-08	0.9763709453
0.2	5	21258	4.71418426e-08	0.9763600425
0.1960784314	5	16812	4.298480617e-08	0.976350014
0.1923076923	5	16149	3.926303834e-08	0.97634073
0.1886792453	9	34907	3.187649431e-11	0.8000011487
0.1851851852	9	43827	2.709929892e-11	0.8000010793
0.1818181818	9	44176	2.310570225e-11	0.8000010099
0.1785714286	9	43852	1.976074162e-11	0.8000009683
0.1754385965	9	48425	1.694345339e-11	0.8000009128
0.1724137931	9	57347	1.456036783e-11	0.8000008711
0.1694915254	9	44033	1.254952297e-11	0.8000008156
0.1666666667	9	51179	1.08401552e-11	0.800000774
0.1639344262	9	44477	9.39042213e-12	0.8000007462
0.1612903226	4	18270	9.462975763e-08	0.9764597679
0.1587301587	4	17125	8.916955423e-08	0.976449336
0.15625	4	17354	8.410106312e-08	0.9764394693
0.1538461538	4	15325	7.939116077e-08	0.9764301199
0.1515151515	4	14836	7.500924842e-08	0.9764212209
0.1492537313	4	14848	7.092909464e-08	0.9764128028
0.1470588235	4	15023	6.712532028e-08	0.9764048179
0.1449275362	4	14845	6.357538696e-08	0.9763972435
0.1428571429	4	16313	6.025907201e-08	0.9763900079
0.1408450704	4	17389	5.715863284e-08	0.9763831531
0.1388888889	4	15204	5.42570803e-08	0.9763766133
0.1369863014	4	28865	5.153872129e-08	0.9763703759
0.1351351351	4	24730	4.89906513e-08	0.9763644295
0.1333333333	4	19339	4.659889756e-08	0.9763587571
0.1315789474	4	17219	4.435318488e-08	0.9763533473
0.1298701299	4	15207	4.224255586e-08	0.9763481683
0.1282051282	4	15217	4.025679828e-08	0.976343236
0.1265822785	4	16043	3.838782693e-08	0.9763385105
0.125	8	32750	6.617956799e-12	0.8000006491
0.1234567901	8	32762	6.009102893e-12	0.8000006491
0.1219512195	8	32737	5.463052986e-12	0.8000006352
0.1204819277	8	33251	4.973833437e-12	0.8000006074
0.119047619	8	32598	4.532865777e-12	0.8000005936
0.1176470588	8	37432	4.134406093e-12	0.8000005658
0.1162790698	7	27346	3.028944435e-11	0.8000011487
0.1149425287	7	27996	2.801380817e-11	0.8000010932
0.1136363636	7	27605	2.593539602e-11	0.8000010655
0.1123595506	7	28619	2.402762019e-11	0.8000010377
0.1111111111	7	27617	2.227875009e-11	0.8000009961
0.1098901099	7	28834	2.06751907e-11	0.8000009822
0.1086956522	7	28492	1.920528311e-11	0.8000009544
0.1075268817	7	28307	1.785400154e-11	0.8000009267
0.1063829787	7	50266	1.6608051e-11	0.8000008989
0.1052631579	7	38776	1.545954323e-11	0.800000885
0.1041666667	7	46461	1.440273596e-11	0.8000008573
0.1030927835	7	38281	1.342836263e-11	0.8000008295
0.1020408163	7	38288	1.252569746e-11	0.8000008156
0.101010101	7	38295	1.169486011e-11	0.8000008017
0.1	7	38780	1.092354195e-11	0.8000007879
0.09900990099	7	38298	1.021129067e-11	0.800000774
0.09803921569	7	38450	9.549423638e-12	0.8000007462
0.09708737864	7	38134	8.941708128e-12	0.8000007323
0.09615384615	7	38127	8.373751328e-12	0.8000007185
0.09523809524	7	38140	7.848270301e-12	0.8000007046
0.09433962264	7	38291	7.358829299e-12	0.8000006907
0.09345794393	7	38633	6.906593313e-12	0.8000006768
0.09259259259	7	38462	6.482599057e-12	0.8000006629
0.09174311927	7	38979	6.090398988e-12	0.8000006491
0.09090909091	7	38979	5.724546732e-12	0.8000006352
0.09009009009	7	39142	5.380744366e-12	0.8000006213
0.08928571429	3	13730	9.916754939e-08	0.9764682823
0.08849557522	3	13728	9.674296799e-08	0.976463758
0.08771929825	3	14235	9.43974955e-08	0.9764593382
0.08695652174	3	15690	9.212884394e-08	0.9764550254
0.08620689655	3	13732	8.993310592e-08	0.976450816
0.08547008547	3	14053	8.780766958e-08	0.9764467022
0.08474576271	3	15012	8.574916997e-08	0.9764426998
0.08403361345	3	16255	8.375568548e-08	0.976438785
0.08333333333	3	13903	8.1824879e-08	0.9764349736
0.0826446281	3	14843	7.995354769e-08	0.9764312464
0.08196721311	3	14711	7.813963253e-08	0.9764275897
0.08130081301	3	14061	7.638059624e-08	0.9764240296
0.08064516129	3	14067	7.467491942e-08	0.9764205445
0.08	3	17325	7.302016011e-08	0.9764171584
0.07936507937	3	14056	7.141482408e-08	0.9764138326
0.07874015748	3	13913	6.985680993e-08	0.9764105829
0.078125	3	15153	6.83448547e-08	0.9764074083
0.07751937984	3	13728	6.68762989e-08	0.9764043087
0.07692307692	3	14245	6.545053537e-08	0.9764012694
0.07633587786	3	14851	6.406482898e-08	0.9763983017
0.07575757576	3	13899	6.271933023e-08	0.9763953863
0.07518796992	3	13738	6.141138809e-08	0.9763925459
0.07462686567	3	13730	6.014008651e-08	0.9763897533
0.07407407407	3	14048	5.890425555e-08	0.9763870243
0.07352941176	3	13729	5.770265959e-08	0.976384367
0.07299270073	3	16915	5.653343657e-08	0.9763817449
0.07246376812	3	14074	5.539634026e-08	0.9763791717
0.07194244604	3	15195	5.429016166e-08	0.9763766815
0.07142857143	3	17074	5.321370608e-08	0.9763742311
0.07092198582	3	14564	5.216530117e-08	0.9763718125
0.07042253521	3	14076	5.114543138e-08	0.9763694417
0.06993006993	3	14090	5.01517005e-08	0.9763671424
0.06944444444	3	14249	4.91840559e-08	0.9763648671
0.06896551724	3	15197	4.824146055e-08	0.9763626634
0.06849315068	3	14243	4.732345379e-08	0.9763604756
0.06802721088	3	14249	4.642855986e-08	0.9763583514
0.06756756757	3	17508	4.55567107e-08	0.9763562511
0.06711409396	3	15353	4.470658134e-08	0.9763541986
0.06666666667	3	14559	4.387771908e-08	0.9763521938
0.06622516556	3	15251	4.306963656e-08	0.9763502049
0.06578947368	3	14738	4.228160445e-08	0.9763482797
0.06535947712	3	14723	4.151298204e-08	0.9763463704
0.06493506494	3	14394	4.076311417e-08	0.9763445009
0.06451612903	3	19921	4.003102388e-08	0.9763426632
0.0641025641	3	14237	3.931699094e-08	0.9763408653
0.06369426752	3	15757	3.862028421e-08	0.9763391071
0.06329113924	3	14235	3.793975083e-08	0.9763373615
0.06289308176	6	27301	6.864335427e-12	0.8000006629
0.0625	6	27124	6.617956799e-12	0.8000006491
0.06211180124	6	27143	6.383594943e-12	0.8000006629
0.06172839506	6	26982	6.155106847e-12	0.8000006491
0.06134969325	6	27142	5.940185781e-12	0.8000006491
0.06097560976	6	27132	5.733392886e-12	0.8000006352
0.06060606061	6	27159	5.535810913e-12	0.8000006213
0.06024096386	6	28086	5.340804109e-12	0.8000006213
0.05988023952	6	26972	5.155813172e-12	0.8000006213
0.05952380952	6	27317	4.983147042e-12	0.8000006074
0.05917159763	6	27141	4.814530008e-12	0.8000005936
0.05882352941	6	27657	4.649357276e-12	0.8000005936
0.05847953216	6	27330	4.493258516e-12	0.8000005936
0.05813953488	6	27135	4.345611809e-12	0.8000005797
0.05780346821	6	29843	4.201089767e-12	0.8000005797
0.05747126437	6	27338	4.059467818e-12	0.8000005658
0.05714285714	6	27330	3.927684554e-12	0.8000005658
0.05681818182	6	29164	3.797756056e-12	0.8000005658
0.05649717514	6	28001	3.675427992e-12	0.8000005658
0.05617977528	6	27164	3.557230566e-12	0.8000005519
0.05586592179	6	27658	3.442790568e-12	0.8000005519
0.05555555556	6	28504	3.330925041e-12	0.8000005519
0.05524861878	6	26988	3.227425199e-12	0.800000538
0.05494505495	6	27329	3.122287122e-12	0.800000538
0.05464480874	6	40468	3.026669004e-12	0.8000005242
0.05434782609	6	27314	2.931411771e-12	0.8000005103
0.05405405405	6	27158	2.839443327e-12	0.8000005103
0.05376344086	6	27179	2.751777593e-12	0.8000005103
0.05347593583	6	27011	2.666922018e-12	0.8000005103
0.05319148936	6	29180	2.58529928e-12	0.8000004964
0.05291005291	6	27342	2.506631383e-12	0.8000005103
0.05263157895	6	27649	2.430035335e-12	0.8000005103
0.05235602094	6	28033	2.355108631e-12	0.8000004964
0.05208333333	6	27176	2.284668516e-12	0.8000004964
0.0518134715	6	27170	2.217227624e-12	0.8000004964
0.05154639175	6	27192	2.150759116e-12	0.8000004825
0.05128205128	6	29087	2.086684955e-12	0.8000004687
0.05102040816	6	29153	2.026497005e-12	0.8000004686
0.05076142132	6	28371	1.965490266e-12	0.8000004686
0.05050505051	6	27012	1.908702339e-12	0.8000004686
0.05025125628	6	27013	1.852426684e-12	0.8000004686
